sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.8492;8.2986;-3.7231;-2.6707;9.0697;-2.6035;-0.3341;-0.8047;-1.0502;0.161;0.3217;0.0774;0.0;-1.5;-50.1;-2.04;178.0;-67.65;134.27;0.0;996.83;64.917;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;17053;2020-12-03 17:39:09:134
-2.4996;8.8014;-3.1102;-2.1754;9.0764;-3.0095;-0.0896;-0.4019;0.3375;-0.2361;-0.272;0.0512;0.0;-3.06;-49.86;-1.68;183.27;-67.75;144.14;0.0;996.84;60.392;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;17552;2020-12-03 17:39:09:633
-1.5539;10.1134;-0.0024;-2.4881;9.4519;-0.8001;0.9342;0.6615;0.7977;-0.15;-0.4718;0.0591;0.0;-4.68;-48.48;-9.72;158.55;-74.54;107.83;0.0;996.81;59.875;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;18053;2020-12-03 17:39:10:134
-1.7957;9.7016;0.4429;-2.2595;9.5196;-0.6645;0.6506;0.0958;1.1171;0.1518;0.2942;-0.1266;0.0;-6.84;-48.48;-7.56;163.64;-76.27;105.29;0.0;996.8;61.676;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;18553;2020-12-03 17:39:10:634
-2.7582;8.2172;-3.7542;-2.5235;9.2497;-2.0603;-0.0671;-1.4037;-1.3588;0.1176;0.5068;0.0823;0.0;-5.04;-50.76;-1.86;184.23;-70.6;129.23;0.0;996.86;63.876;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;19053;2020-12-03 17:39:11:134
-2.4972;8.2746;-2.7869;-2.1494;9.2685;-2.376;-0.4532;-0.6802;-0.3942;-0.2801;-0.55;-0.1131;0.0;-6.84;-50.34;-2.76;188.9;-70.81;141.14;0.0;996.86;60.693;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;19553;2020-12-03 17:39:11:634
-1.8316;10.2164;0.8763;-2.7006;9.4187;-0.4068;1.1132;0.5894;1.0676;-0.0993;-0.5555;0.1715;0.0;-11.16;-47.52;-3.6;174.57;-73.83;98.57;0.0;996.81;63.578;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;20052;2020-12-03 17:39:12:133
-1.6042;9.7088;0.3951;-2.2559;9.54;-0.2638;0.6829;0.0659;0.5439;0.1738;0.1782;-0.0887;0.0;-10.56;-48.84;-2.34;178.17;-76.61;96.67;0.0;996.81;62.763;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;20552;2020-12-03 17:39:12:633
-2.9426;8.9283;-3.3376;-2.5324;9.2835;-1.8904;-0.4102;-0.3553;-1.4472;0.2025;0.023;-0.0081;0.0;-8.7;-50.52;4.62;204.69;-71.2;126.74;0.0;996.81;62.631;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;21052;2020-12-03 17:39:13:133
-3.1054;8.0926;-2.7798;-2.392;9.2202;-2.3317;-0.7134;-1.1275;-0.448;-0.329;-0.4321;0.1489;0.0;-11.1;-49.02;7.8;215.43;-70.08;134.27;0.0;996.83;62.682;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;21553;2020-12-03 17:39:13:634
-1.6688;10.2212;0.3041;-2.2109;9.5412;-0.4974;0.8007;0.6321;0.9906;-0.0425;-0.5634;0.1978;0.0;-13.5;-48.36;3.96;196.66;-76.64;102.68;0.0;996.81;61.675;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;22053;2020-12-03 17:39:14:134
-1.348;9.6992;-0.1221;-2.0036;9.5705;-0.7489;0.7682;-0.173;1.0194;0.3595;-0.3148;-0.3257;0.0;-13.14;-48.24;8.64;213.96;-77.4;110.49;0.0;996.82;62.744;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;22553;2020-12-03 17:39:14:634
-2.9186;8.7798;-2.7941;-2.7451;9.2231;-1.8893;-0.1735;-0.4433;-0.9049;0.255;-0.0973;0.1654;1.0;-10.38;-47.52;16.68;232.69;-70.13;124.54;0.0;996.82;61.285;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;23052;2020-12-03 17:39:15:133
-3.8308;8.1357;-2.0303;-2.7126;9.2525;-1.7897;-0.8333;-1.0281;-0.2454;-0.3412;-0.357;0.0469;2.0;-11.94;-46.8;18.12;234.08;-70.65;123.42;0.0;996.85;62.247;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;23553;2020-12-03 17:39:15:634
-1.5802;9.6489;0.5148;-2.4046;9.5049;-0.211;0.7669;0.2278;0.8431;0.0534;-0.2116;0.086;0.0;-11.34;-47.58;11.28;209.0;-75.75;95.01;0.0;996.8;63.816;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;24052;2020-12-03 17:39:16:133
-1.087;9.7064;0.4382;-2.153;9.5668;-0.1024;1.2264;-0.1262;0.8686;0.2037;-0.3111;-0.2646;0.0;-9.6;-48.18;16.56;221.76;-77.47;92.36;0.0;996.81;58.159;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;24553;2020-12-03 17:39:16:634
-3.2538;7.1924;-1.4509;-3.1803;9.0936;-1.8334;-0.6792;-1.7528;0.2077;0.7834;-0.732;-0.0325;0.0;-0.84;-43.38;30.9;264.69;-68.02;119.96;0.0;996.81;58.913;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;25053;2020-12-03 17:39:17:134
-2.2626;10.123;-0.2753;-3.1345;9.2216;-1.1435;-0.318;-0.6932;0.2648;-0.3375;0.8019;0.0261;0.0;-0.96;-44.34;30.0;257.77;-70.11;110.04;0.0;996.84;55.94;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;25552;2020-12-03 17:39:17:633
-2.2698;8.878;0.7614;-2.1709;9.5604;0.2371;-0.2066;-0.771;0.3519;0.1445;-0.1804;-0.0197;0.0;-4.86;-47.52;24.3;231.65;-76.85;83.46;0.0;996.8;64.552;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;26053;2020-12-03 17:39:18:134
-1.609;9.8477;0.735;-2.5435;9.4585;0.4872;0.8699;0.2359;0.3987;0.0858;0.1275;-0.0637;0.0;-6.36;-45.9;24.54;226.32;-74.69;79.16;0.0;996.82;58.447;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;26553;2020-12-03 17:39:18:634
-2.8109;10.111;-1.1732;-2.2843;9.52;-0.5671;-0.7205;0.919;-0.3355;0.1976;0.475;0.0524;0.0;-6.42;-44.04;30.06;253.25;-76.11;103.94;0.0;996.8;58.997;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;27053;2020-12-03 17:39:19:134
-3.8428;8.7583;-2.5236;-2.5877;9.211;-2.152;-1.2551;-0.4527;-0.3715;0.2257;-0.1425;0.1055;0.0;-0.42;-38.28;36.84;287.88;-69.93;129.75;0.0;996.83;55.179;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 2;27552;2020-12-03 17:39:19:633
-2.8276;9.0049;0.2873;-3.2295;9.2028;-1.0239;0.6342;-0.1764;1.122;-0.2294;-0.1627;-0.1559;0.0;2.58;-42.18;32.04;264.69;-69.79;107.59;0.0;996.86;55.365;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 2;28053;2020-12-03 17:39:20:134
-2.5188;9.2898;0.1532;-2.6811;9.43;-0.2365;0.4832;0.0058;0.6316;0.062;0.3254;0.031;0.0;1.5;-45.42;28.14;253.77;-74.07;95.04;0.0;996.79;54.787;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;28553;2020-12-03 17:39:20:634
-3.692;9.3808;-1.8436;-2.5507;9.3564;-1.4569;-1.2395;-0.1839;-0.4514;0.1781;0.3419;-0.0368;0.0;-2.16;-40.92;32.88;273.24;-72.57;119.73;0.0;996.79;59.765;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;29053;2020-12-03 17:39:21:134
-3.3496;9.8022;-2.4158;-2.4548;9.3175;-1.8243;-0.8948;0.4847;-0.5915;-0.4273;-0.3118;0.1477;0.0;-1.32;-40.02;34.56;282.95;-71.83;126.62;0.0;996.87;61.371;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;29553;2020-12-03 17:39:21:634
-1.4749;9.5939;-0.17;-2.5849;9.4462;-0.5073;1.1244;0.6145;0.129;-0.2605;0.2588;-0.0582;0.0;-2.52;-43.38;30.66;254.43;-74.42;101.1;0.0;996.78;58.425;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;30053;2020-12-03 17:39:22:134
-3.7494;8.538;-1.3743;-2.5881;9.4253;-0.7967;-0.9219;-0.0398;-0.228;-0.018;0.056;0.1318;0.0;0.3;-40.92;33.54;265.13;-73.82;105.33;0.0;996.8;59.138;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;30553;2020-12-03 17:39:22:634
